100, 40000.003480, 19999999931.480068
200, 40000.007246, 19999999725.920696
300, 40000.011297, 19999999383.322479
400, 40000.015635, 19999998903.686012
500, 40000.020258, 19999998287.011929
600, 40000.025167, 19999997533.300869
700, 40000.030362, 19999996642.553509
800, 40000.035842, 19999995614.770531
900, 40000.041609, 19999994449.952644
1000, 40000.047661, 19999993148.100574
1100, 40000.053999, 19999991709.215065
1200, 40000.060623, 19999990133.296894
1300, 40000.067533, 19999988420.346836
1400, 40000.074728, 19999986570.365707
1500, 40000.082209, 19999984583.354328
1600, 40000.089976, 19999982459.313553
1700, 40000.098029, 19999980198.244247
1800, 40000.106368, 19999977800.147301
1900, 40000.114992, 19999975265.023613
2000, 40000.123903, 19999972592.874119
2100, 40000.133099, 19999969783.699764
2200, 40000.142580, 19999966837.501518
2300, 40000.152348, 19999963754.280365
2400, 40000.162401, 19999960534.037315
2500, 40000.172741, 19999957176.773396
2600, 40000.183365, 19999953682.489662
2700, 40000.194276, 19999950051.187168
2800, 40000.205473, 19999946282.867008
2900, 40000.216955, 19999942377.530293
3000, 40000.228723, 19999938335.178150
3100, 40000.240777, 19999934155.811726
3200, 40000.253116, 19999929839.432194
3300, 40000.265742, 19999925386.040733
3400, 40000.278653, 19999920795.638557
3500, 40000.291849, 19999916068.226894
3600, 40000.305332, 19999911203.806992
3700, 40000.319100, 19999906202.380119
3800, 40000.333155, 19999901063.947567
3900, 40000.347494, 19999895788.510639
4000, 40000.362120, 19999890376.070671
4100, 40000.377031, 19999884826.629002
4200, 40000.392228, 19999879140.187004
4300, 40000.407711, 19999873316.746071
4400, 40000.423480, 19999867356.307606
4500, 40000.439534, 19999861258.873043
4600, 40000.455874, 19999855024.443829
4700, 40000.472500, 19999848653.021431
4800, 40000.489411, 19999842144.607338
4900, 40000.506608, 19999835499.203056
5000, 40000.524091, 19999828716.810120
5100, 40000.541860, 19999821797.430077
5200, 40000.559914, 19999814741.064499
5300, 40000.578254, 19999807547.714970
5400, 40000.596880, 19999800217.383106
5500, 40000.615792, 19999792750.070526
5600, 40000.634989, 19999785145.778889
5700, 40000.654472, 19999777404.509861
5800, 40000.674240, 19999769526.265129
5900, 40000.694294, 19999761511.046410
6000, 40000.714634, 19999753358.855423
6100, 40000.735260, 19999745069.693932
6200, 40000.756171, 19999736643.563690
6300, 40000.777368, 19999728080.466496
6400, 40000.798851, 19999719380.404160
6500, 40000.820619, 19999710543.378506
6600, 40000.842673, 19999701569.391392
6700, 40000.865013, 19999692458.444679
6800, 40000.887638, 19999683210.540264
6900, 40000.910549, 19999673825.680054
7000, 40000.933746, 19999664303.865978
7100, 40000.957228, 19999654645.099987
7200, 40000.980996, 19999644849.384056
7300, 40001.005050, 19999634916.720169
7400, 40001.029389, 19999624847.110340
7500, 40001.054014, 19999614640.556591
7600, 40001.078924, 19999604297.060982
7700, 40001.104120, 19999593816.625580
7800, 40001.129602, 19999583199.252476
7900, 40001.155369, 19999572444.943779
8000, 40001.181422, 19999561553.701618
8100, 40001.207761, 19999550525.528145
8200, 40001.234385, 19999539360.425533
8300, 40001.261295, 19999528058.395969
8400, 40001.288490, 19999516619.441666
8500, 40001.315971, 19999505043.564854
8600, 40001.343738, 19999493330.767780
8700, 40001.371790, 19999481481.052727
8800, 40001.400128, 19999469494.421970
8900, 40001.428751, 19999457370.877823
9000, 40001.457660, 19999445110.422626
9100, 40001.486855, 19999432713.058723
9200, 40001.516335, 19999420178.788486
9300, 40001.546100, 19999407507.614311
9400, 40001.576151, 19999394699.538597
9500, 40001.606488, 19999381754.563789
9600, 40001.637110, 19999368672.692329
9700, 40001.668018, 19999355453.926693
9800, 40001.699212, 19999342098.269367
9900, 40001.730690, 19999328605.722870
10000, 40001.762455, 19999314976.289726
10100, 40001.794505, 19999301209.972492
10200, 40001.826840, 19999287306.773731
10300, 40001.859461, 19999273266.696045
10400, 40001.892368, 19999259089.742039
10500, 40001.925560, 19999244775.914349
10600, 40001.959037, 19999230325.215618
10700, 40001.992800, 19999215737.648525
10800, 40002.026849, 19999201013.215759
10900, 40002.061182, 19999186151.920036
11000, 40002.095802, 19999171153.764080
11100, 40002.130707, 19999156018.750648
11200, 40002.165897, 19999140746.882511
11300, 40002.201373, 19999125338.162464
11400, 40002.237134, 19999109792.593311
11500, 40002.273181, 19999094110.177891
11600, 40002.309513, 19999078290.919052
11700, 40002.346131, 19999062334.819672
11800, 40002.383034, 19999046241.882633
11900, 40002.420223, 19999030012.110859
12000, 40002.457697, 19999013645.507271
12100, 40002.495456, 19998997142.074829
12200, 40002.533501, 19998980501.816502
12300, 40002.571831, 19998963724.735283
12400, 40002.610447, 19998946810.834179
12500, 40002.649348, 19998929760.116230
12600, 40002.688534, 19998912572.584488
12700, 40002.728006, 19998895248.242023
12800, 40002.767763, 19998877787.091927
12900, 40002.807805, 19998860189.137314
13000, 40002.848133, 19998842454.381313
13100, 40002.888747, 19998824582.827080
13200, 40002.929645, 19998806574.477791
13300, 40002.970829, 19998788429.336628
13400, 40003.012299, 19998770147.406818
13500, 40003.054053, 19998751728.691582
13600, 40003.096093, 19998733173.194180
13700, 40003.138419, 19998714480.917877
13800, 40003.181029, 19998695651.865971
13900, 40003.223925, 19998676686.041775
14000, 40003.267107, 19998657583.448624
14100, 40003.310573, 19998638344.089863
14200, 40003.354325, 19998618967.968876
14300, 40003.398363, 19998599455.089050
14400, 40003.442685, 19998579805.453800
14500, 40003.487293, 19998560019.066559
14600, 40003.532186, 19998540095.930775
14700, 40003.577364, 19998520036.049927
